Year,Rank,Artist,Song,Song_genre,Genre,relevant_genres,primary_genre
2000,1,Faith Hill,Breathe,Breathe,"['country', 'female vocalists', 'pop', 'Love', 'Faith Hill']","['country', 'pop']",country
2000,2,Santana,Smooth,Smooth,"['rock', 'latin', 'Latin Rock', 'guitar', 'classic rock']","['rock', 'latin']",rock
2000,3,Santana,Maria Maria,Maria Maria,"['latin', 'rock', 'santana', 'guitar', 'Latin Rock']","['latin', 'rock']",latin
2000,4,Joe,I Wanna Know,I Wanna Know,"['rnb', 'joe', 'slow jams', 'soul', 'smooth']","['rnb', 'soul']",r&b
2000,5,Vertical Horizon,Everything You Want,Everything You Want,"['alternative rock', 'rock', '90s', 'alternative', 'pop']","['rock', 'pop']",rock
2000,6,Destiny’s Child,Say My Name,Say My Name,"['rnb', 'pop', 'destinys child', 'female vocalists', '90s']","['rnb', 'pop']",r&b
2000,7,Savage Garden,I Knew I Loved You,I Knew I Loved You,"['pop', '90s', 'savage garden', 'Love', 'love songs']",['pop'],pop
2000,8,Lonestar,Amazed,Amazed,"['country', 'lonestar', 'love songs', 'Amazed', 'Love']",['country'],country
2000,9,matchbox twenty,Bent,Bent,"['rock', 'alternative rock', 'alternative', '90s', 'pop']","['rock', 'pop']",rock
2000,10,Toni Braxton,He Wasn’t Man Enough,He Wasnt Man Enough,"['female', 'pop', 'dance', 'RB', 'rnb']","['pop', 'rnb']",pop
2000,11,Creed,Higher,Higher,"['rock', 'alternative rock', 'Creed', 'alternative', 'Grunge']",['rock'],rock
2000,12,Aaliyah,Try Again,Try Again,"['rnb', 'Aaliyah', 'female vocalists', 'Hip-Hop', 'dance']","['rnb', 'Hip-Hop']",r&b
2000,13,Destiny’s Child,Jumpin Jumpin’,Jumpin Jumpin,"['rnb', 'pop', 'dance', 'female vocalists', 'destinys child']","['rnb', 'pop']",r&b
2000,14,Sisqo,Thong Song,Thong Song,"['rnb', 'Sisqo', 'Hip-Hop', 'pop', 'r&b']","['rnb', 'Hip-Hop', 'pop', 'r&b']",r&b
2000,15,3 Doors Down,Kryptonite,Kryptonite,"['rock', 'alternative rock', '3 Doors Down', 'alternative', 'hard rock']",['rock'],rock
2000,16,Pink,There You Go,There You Go,"['pop', 'pink', 'female vocalists', 'dance', 'rock']","['pop', 'rock']",pop
2000,17,Madonna,Music,Music,"['pop', 'dance', 'Madonna', 'electronic', 'female vocalists']",['pop'],pop
2000,19,Christina Aguilera,What A Girl Wants,What A Girl Wants,"['pop', 'Christina Aguilera', '90s', 'female vocalists', 'rnb']","['pop', 'rnb']",pop
2000,20,Brian McKnight,Back At One,Back At One,"['rnb', 'soul', 'Brian McKnight', 'love songs', 'Love']","['rnb', 'soul']",r&b
2000,22,Marc Anthony,You Sang To Me,You Sang To Me,"['pop', 'latin', 'Marc Anthony', 'Love', 'latin pop']","['pop', 'latin']",pop
2000,23,Marc Anthony,I Need To Know,I Need To Know,"['latin', 'salsa', 'pop', 'Marc Anthony', 'dance']","['latin', 'pop']",latin
2000,24,Montell Jordan,Get It On Tonite,Get It On Tonite,"['rnb', '90s', 'sexy', 'r&b', 'smooth']","['rnb', 'r&b']",r&b
2000,25,Sisqo,Incomplete,Incomplete,"['rnb', 'soul', 'romantic', 'Sisqo', 'love songs']","['rnb', 'soul']",r&b
2000,26,Macy Gray,I Try,I Try,"['soul', 'female vocalists', 'rnb', 'pop', 'macy gray']","['soul', 'rnb', 'pop']",soul
2000,30,Blaque,Bring It All To Me,Bring It All To Me,"['Blaque', 'rnb', 'female vocalists', 'bring it all to me', 'pop']","['rnb', 'pop']",r&b
2000,31,Backstreet Boys,Show Me The Meaning Of Being Lonely,Show Me The Meaning Of Being Lonely,"['pop', '90s', 'backstreet boys', 'boybands', 'slow']",['pop'],pop
2000,32,Missy Elliott,Hot Boyz,Hot Boyz,"['Hip-Hop', 'hip hop', 'rnb', 'rap', 'sexy']","['Hip-Hop', 'hip hop', 'rnb', 'rap']",hip hop
2000,33,BBMak,Back Here,Back Here,"['pop', '90s', 'boybands', 'british', 'bbmak']",['pop'],pop
2000,34,Sonique,It Feels So Good,It Feels So Good,"['dance', 'pop', 'electronic', '90s', 'female vocalists']",['pop'],pop
2000,35,Nine Days,Absolutely (Story Of A Girl),Absolutely (Story Of A Girl),"['rock', 'alternative', '90s', 'alternative rock', 'pop']","['rock', 'pop']",rock
2000,36,Creed,With Arms Wide Open,With Arms Wide Open,"['rock', 'alternative rock', 'Creed', 'alternative', 'Grunge']",['rock'],rock
2000,37,Enrique Iglesias,Be With You,Be With You,"['pop', 'latin', 'dance', 'latin pop', 'Love']","['pop', 'latin']",pop
2000,38,Christina Aguilera,Come On Over Baby (All I Want Is You),Come On Over Baby (All I Want Is You),"['pop', 'female vocalists', 'dance', '90s', '2000']",['pop'],pop
2000,39,Ruff Endz,No More,No More,"['rnb', '90s', 'Ruff Endz - No More', 'oldschool', 'soul']","['rnb', 'soul']",r&b
2000,40,Blink 182,All The Small Things,All The Small Things,"['punk rock', 'punk', 'rock', 'pop punk', 'Blink 182']",['rock'],rock
2000,41,Faith Hill,The Way You Love Me,The Way You Love Me,"['country', 'female vocalists', 'Faith Hill', 'pop', 'Love']","['country', 'pop']",country
2000,42,Christina Aguilera,I Turn To You,I Turn To You,"['pop', 'Christina Aguilera', 'female vocalists', '90s', 'rnb']","['pop', 'rnb']",pop
2000,43,Third Eye Blind,Never Let You Go,Never Let You Go,"['rock', '90s', 'alternative rock', 'alternative', 'summer']",['rock'],rock
2000,44,LeAnn Rimes,I Need You,I Need You,"['country', 'pop', 'female vocalists', 'Love', 'LeAnn Rimes']","['country', 'pop']",country
2000,45,Mariah Carey,Thank God I Found You,Thank God I Found You,"['rnb', '90s', 'pop', 'Mariah Carey', 'female vocalists']","['rnb', 'pop']",r&b
2000,46,Jagged Edge,Let’s Get Married,Lets Get Married,"['Love', 'rnb', 'rhythm and blues', 'favorites', 'american']",['rnb'],r&b
2000,47,Whitney Houston,My Love Is Your Love,My Love Is Your Love,"['rnb', 'soul', 'whitney houston', 'female vocalists', 'pop']","['rnb', 'soul', 'pop']",r&b
2000,48,Smash Mouth,Then The Morning Comes,Then The Morning Comes,"['alternative', 'rock', '90s', 'pop', 'alternative rock']","['rock', 'pop']",rock
2000,49,iffel 65,Blue (Da Ba Dee),Blue (Da Ba Dee),"['dance', '90s', 'electronic', 'pop', 'techno']",['pop'],pop
2000,50,Sting,Desert Rose,Desert Rose,"['sting', 'pop', 'rock', 'british', 'chillout']","['pop', 'rock']",pop
2000,51,Eminem,The Real Slim Shady,The Real Slim Shady,"['rap', 'Hip-Hop', 'Eminem', 'hip hop', '00s']","['rap', 'Hip-Hop', 'hip hop']",rap
2000,52,Pink,Most Girls,Most Girls,"['pop', 'pink', 'female vocalists', 'rnb', 'rock']","['pop', 'rnb', 'rock']",pop
2000,53,Next,Wifey,Wifey,"['rnb', 'next', 'dance', 'wifey', 'Hip-Hop']","['rnb', 'Hip-Hop']",r&b
2000,54,Everclear,Wonderful,Wonderful,"['alternative rock', 'rock', 'alternative', '90s', 'scrubs']",['rock'],rock
2000,56,Jessica Simpson,I Wanna Love You Forever,I Wanna Love You Forever,"['pop', 'Jessica Simpson', 'female vocalists', 'Ballad', 'Love']",['pop'],pop
2000,58,Filter,Take A Picture,Take A Picture,"['alternative rock', 'alternative', 'rock', '90s', 'industrial rock']",['rock'],rock
2000,59,Red Hot Chili Peppers,Otherside,Otherside,"['rock', 'alternative rock', 'alternative', 'Red Hot Chili Peppers', 'funk']",['rock'],rock
2000,60,Jay-Z,Big Pimpin’,Big Pimpin,"['rap', 'Hip-Hop', 'hip hop', 'jay-z', 'roc-a-fella']","['rap', 'Hip-Hop', 'hip hop']",rap
2000,63,Avant,Separated,Separated,"['avant', 'rnb', 'slow jams', 'soul', 'r&b']","['rnb', 'soul', 'r&b']",r&b
2000,64,Carl Thomas,I Wish,I Wish,"['rnb', 'carl thomas', 'soul', 'slow jams', 'r&b']","['rnb', 'soul', 'r&b']",r&b
2000,65,Donell Jones,U Know What’s Up,U Know Whats Up,['r&b'],['r&b'],r&b
2000,66,SoulDecision,Faded,Faded,"['pop', '90s', 'Canadian', '90s pop', 'Guilty Pleasures']",['pop'],pop
2000,67,Kid Rock,Only God Knows Why,Only God Knows Why,"['rock', 'kid rock', 'hard rock', 'Southern Rock', 'rap metal']",['rock'],rock
2000,68,Mystikal,Shake Ya Ass,Shake Ya Ass,"['Hip-Hop', 'rap', 'hip hop', 'mystikal', 'shake ya ass']","['Hip-Hop', 'rap', 'hip hop']",hip hop
2000,69,Erykah Badu,Bag Lady,Bag Lady,"['soul', 'Neo-Soul', 'female vocalists', 'rnb', 'Erykah Badu']","['soul', 'rnb']",soul
2000,70,Train,Meet Virginia,Meet Virginia,"['rock', 'alternative', '90s', 'train', 'alternative rock']",['rock'],rock
2000,71,DMX,Party Up (Up In Here),Party Up (Up In Here),"['rap', 'Hip-Hop', '90s', 'dmx', 'hip hop']","['rap', 'Hip-Hop', 'hip hop']",rap
2000,72,Mya,Case Of The Ex (Whatcha Gonna Do),Case Of The Ex (Whatcha Gonna Do),"['rnb', 'Mya', 'female vocalists', 'pop', 'Case of the Ex']","['rnb', 'pop']",r&b
2000,73,Dr. Dre,Forget About Dre,Forget About Dre,"['rap', 'Hip-Hop', 'Gangsta Rap', 'hip hop', 'dr dre']","['rap', 'Hip-Hop', 'hip hop']",rap
2000,74,Jo Dee Messina,That’s The Way,Thats The Way,"['country', 'female', 'pop', 'Favorite', 'female vocalists']","['country', 'pop']",country
2000,75,Westlife,Swear It Again,Swear It Again,"['pop', 'irish', 'westlife', '90s', 'boybands']",['pop'],pop
2000,76,Dr. Dre,The Next Episode,The Next Episode,"['rap', 'Hip-Hop', 'Gangsta Rap', 'dr dre', 'hip hop']","['rap', 'Hip-Hop', 'hip hop']",rap
2000,77,Britney Spears,From The Bottom Of My Broken Heart,From The Bottom Of My Broken Heart,"['pop', 'Britney Spears', '90s', 'female vocalist', 'teen pop']",['pop'],pop
2000,78,Savage Garden,Crash And Burn,Crash And Burn,"['pop', '90s', 'australian', 'rock', 'savage garden']","['pop', 'rock']",pop
2000,79,Chad Brock,Yes!,Yes!,"['country', 'male vocalists', 'male country', 'my favorite', 'absolute love']",['country'],country
2000,80,George Strait,The Best Day,The Best Day,"['country', 'classic country', 'George Strait', 'modern country', 'san antonio']",['country'],country
2000,81,Donell Jones,Where I Wanna Be,Where I Wanna Be,"['rnb', 'Donell Jones', 'soul', 'Neo-Soul', 'Mellow']","['rnb', 'soul']",r&b
2000,82,Toby Keith,How Do You Like Me Now?!,How Do You Like Me Now?!,"['country', 'toby keith', 'my favorite', '90s', 'male vocalists']",['country'],country
2000,83,Tim McGraw,My Best Friend,My Best Friend,"['country', 'male vocalists', 'my best friend', 'good wedding song', 'Love']",['country'],country
2000,84,Goo Goo Dolls,Broadway,Broadway,"['rock', 'alternative rock', 'goo goo dolls', 'alternative', '90s']",['rock'],rock
2000,87,Lee Ann Womack,I Hope You Dance,I Hope You Dance,"['country', 'Lee Ann Womack', 'female vocalist', 'pop', 'female vocalists']","['country', 'pop']",country
2000,89,Debelah Morgan,Dance With Me,Dance With Me,"['dance', 'pop', 'tango', 'rnb', 'female vocalists']","['pop', 'rnb']",pop
2000,90,Lonestar,What About Now,What About Now,"['country', 'lonestar', 'classic country', 'modern country', 'My Country']",['country'],country
2000,92,Kevon Edmonds,24/7,24/7,"['slow jams', 'rnb', 'Kevon Edmonds', 'soul', 'love songs']","['rnb', 'soul']",r&b
2000,93,LFO,Girl On TV,Girl On TV,"['pop', '1999', 'summer', 'favorites', 'happy']",['pop'],pop
2000,95,Dixie Chicks,Cowboy Take Me Away,Cowboy Take Me Away,"['country', 'female vocalists', 'dixie chicks', 'pop', 'singer-songwriter']","['country', 'pop']",country
2000,96,Aaliyah,I Don’t Wanna,I Dont Wanna,"['rnb', 'Aaliyah', 'soul', 'female vocalists', 'pop']","['rnb', 'soul', 'pop']",r&b
2000,97,Destiny’s Child,Independent Women Part I,Independent Women Part I,"['rnb', 'pop', 'female vocalists', 'destinys child', 'Hip-Hop']","['rnb', 'pop', 'Hip-Hop']",r&b
2000,98,Samantha Mumba,Gotta Tell You,Gotta Tell You,"['pop', 'female vocalists', 'rnb', 'Samantha Mumba', 'dance']","['pop', 'rnb']",pop
2000,99,Jennifer Lopez,Waiting For Tonight,Waiting For Tonight,"['pop', 'dance', 'latin', '90s', 'female vocalists']","['pop', 'latin']",pop
2000,100,Mary Mary,Shackles (Praise You),Shackles (Praise You),"['gospel', 'Mary Mary', 'rnb', 'christian', 'pop']","['gospel', 'rnb', 'pop']",gospel
2001,1,Lifehouse,Hanging By A Moment,Hanging By A Moment,"['rock', 'alternative rock', 'alternative', 'Lifehouse', 'Love']",['rock'],rock
2001,2,Alicia Keys,Fallin’,Fallin,"['soul', 'rnb', 'female vocalists', 'piano', 'pop']","['soul', 'rnb', 'pop']",soul
2001,4,Train,Drops Of Jupiter (Tell Me),Drops Of Jupiter (Tell Me),"['pop', 'pop rock', 'rock', '2001', 'softrock']","['pop', 'rock']",pop
2001,5,Jennifer Lopez,I’m Real,Im Real,"['pop', 'jennifer lopez', 'rnb', 'dance', 'female vocalists']","['pop', 'rnb']",pop
2001,6,matchbox twenty,If You’re Gone,If Youre Gone,"['pop', 'All-Time Faves', 'aitch', 'rob thomas']",['pop'],pop
2001,7,Eve,Let Me Blow Ya Mind,Let Me Blow Ya Mind,"['Hip-Hop', 'hip hop', 'rap', 'female vocalists', 'rnb']","['Hip-Hop', 'hip hop', 'rap', 'rnb']",hip hop
2001,8,Dido,Thank You,Thank You,"['pop', 'female vocalists', 'dido', 'chillout', 'british']",['pop'],pop
2001,9,Lenny Kravitz,Again,Again,"['rock', 'Lenny Kravitz', 'alternative', 'pop', 'Love']","['rock', 'pop']",rock
2001,10,Destiny’s Child,Independent Women Part I,Independent Women Part I,"['rnb', 'pop', 'female vocalists', 'destinys child', 'Hip-Hop']","['rnb', 'pop', 'Hip-Hop']",r&b
2001,12,Shaggy,It Wasn’t Me,It Wasnt Me,"['reggae', 'Shaggy', 'pop', 'Hip-Hop', 'rnb']","['reggae', 'pop', 'Hip-Hop', 'rnb']",reggae
2001,13,Joe,Stutter,Stutter,"['rnb', 'r&b', 'joe', 'Hip-Hop', 'soul']","['rnb', 'r&b', 'Hip-Hop', 'soul']",r&b
2001,14,Staind,It’s Been Awhile,Its Been Awhile,"['rock', 'alternative rock', 'post-grunge', 'alternative', 'grunge ballads']",['rock'],rock
2001,15,Usher,U Remind Me,U Remind Me,"['rnb', 'Usher', 'soul', 'Hip-Hop', 'r&b']","['rnb', 'soul', 'Hip-Hop', 'r&b']",r&b
2001,16,Jagged Edge With Nelly,Where The Party At,Where The Party At,"['rnb', 'jagged edge', 'hip hop', 'urban', 'dance']","['rnb', 'hip hop']",r&b
2001,17,Shaggy,Angel,Angel,"['reggae', 'Shaggy', 'pop', 'rnb', 'Hip-Hop']","['reggae', 'pop', 'rnb', 'Hip-Hop']",reggae
2001,18,Nelly,Ride Wit Me,Ride Wit Me,"['rap', 'hip hop', 'Nelly', 'Hip-Hop', 'rnb']","['rap', 'hip hop', 'Hip-Hop', 'rnb']",rap
2001,19,Uncle Kracker,Follow Me,Follow Me,"['pop', 'rock', 'uncle kracker', 'alternative', 'country']","['pop', 'rock', 'country']",pop
2001,20,112,Peaches & Cream,Peaches & Cream,"['rnb', 'r&b', '112', 'Hip-Hop', 'dance']","['rnb', 'r&b', 'Hip-Hop']",r&b
2001,21,Incubus,Drive,Drive,"['alternative rock', 'rock', 'alternative', 'incubus', 'indie']","['rock', 'indie']",rock
2001,22,City High,What Would You Do?,What Would You Do?,"['Hip-Hop', 'rnb', 'hip hop', 'rap', '00s']","['Hip-Hop', 'rnb', 'hip hop', 'rap']",hip hop
2001,23,Destiny’s Child,Survivor,Survivor,"['rnb', 'pop', 'destinys child', 'female vocalists', 'Hip-Hop']","['rnb', 'pop', 'Hip-Hop']",r&b
2001,25,Outkast,Ms. Jackson,Ms. Jackson,"['Hip-Hop', 'rap', 'hip hop', 'outkast', 'pop']","['Hip-Hop', 'rap', 'hip hop', 'pop']",hip hop
2001,26,Jennifer Lopez,Love Don’t Cost A Thing,Love Dont Cost A Thing,"['pop', 'dance', 'rnb', 'female vocalists', 'jennifer lopez']","['pop', 'rnb']",pop
2001,27,Faith Hill,The Way You Love Me,The Way You Love Me,"['country', 'female vocalists', 'Faith Hill', 'pop', 'Love']","['country', 'pop']",country
2001,28,Dream,He Loves U Not,He Loves U Not,"['pop', 'female vocalists', 'american', 'dance pop', 'teen pop']",['pop'],pop
2001,29,Crazy Town,Butterfly,Butterfly,"['rock', 'alternative', 'Nu Metal', 'alternative rock', 'rapcore']",['rock'],rock
2001,30,Ja Rule,Put It On Me,Put It On Me,"['Hip-Hop', 'Ja Rule', 'rap', '2000s', 'rnb']","['Hip-Hop', 'rap', 'rnb']",hip hop
2001,31,Mary J. Blige,Family Affair,Family Affair,"['rnb', 'soul', 'female vocalists', 'Hip-Hop', 'mary j blige']","['rnb', 'soul', 'Hip-Hop']",r&b
2001,32,Lee Ann Womack,I Hope You Dance,I Hope You Dance,"['country', 'Lee Ann Womack', 'female vocalist', 'pop', 'female vocalists']","['country', 'pop']",country
2001,34,Madonna,Don’t Tell Me,Dont Tell Me,"['pop', 'Madonna', 'dance', 'female vocalists', '00s']",['pop'],pop
2001,37,Craig David,Fill Me In,Fill Me In,"['rnb', 'pop', '00s', 'british', 'soul']","['rnb', 'pop', 'soul']",r&b
2001,39,Creed,With Arms Wide Open,With Arms Wide Open,"['rock', 'alternative rock', 'Creed', 'alternative', 'Grunge']",['rock'],rock
2001,40,Mya,Case Of The Ex (Whatcha Gonna Do),Case Of The Ex (Whatcha Gonna Do),"['rnb', 'Mya', 'female vocalists', 'pop', 'Case of the Ex']","['rnb', 'pop']",r&b
2001,41,O-Town,All Or Nothing,All Or Nothing,"['pop', 'boy bands', 'love songs', 'Love', 'Ballad']",['pop'],pop
2001,42,Destiny’s Child,Bootylicious,Bootylicious,"['rnb', 'pop', 'dance', 'destinys child', 'female vocalists']","['rnb', 'pop']",r&b
2001,43,Nelly Furtado,I’m Like A Bird,Im Like A Bird,"['pop', 'female vocalists', 'Nelly Furtado', 'Canadian', 'female vocalist']",['pop'],pop
2001,44,3 Doors Down,Kryptonite,Kryptonite,"['rock', 'alternative rock', '3 Doors Down', 'alternative', 'hard rock']",['rock'],rock
2001,45,R. Kelly,Fiesta,Fiesta,"['rnb', 'r kelly', 'hip hop', 'rap', 'r&b']","['rnb', 'hip hop', 'rap', 'r&b']",r&b
2001,47,Aerosmith,Jaded,Jaded,"['rock', 'classic rock', 'hard rock', 'aerosmith', 'jaded']",['rock'],rock
2001,48,Jagged Edge,Promise,Promise,"['slow jams', 'rnb', 'jagged edge', 'Promise', 'jagged edge promise']",['rnb'],r&b
2001,49,Case,Missing You,Missing You,"['rnb', 'slow jams', 'missing you', 'case', 'soul']","['rnb', 'soul']",r&b
2001,50,Ginuwine,Differences,Differences,"['rnb', 'slow jams', 'Ginuwine', 'soul', 'Differences']","['rnb', 'soul']",r&b
2001,52,Jay-Z,Izzo (H.O.V.A.),Izzo (H.O.V.A.),"['rap', 'Hip-Hop', 'jay-z', 'hip hop', '00s']","['rap', 'Hip-Hop', 'hip hop']",rap
2001,54,Evan And Jaron,Crazy For This Girl,Crazy For This Girl,"['pop', '90s', 'pop rock', 'Love', 'dawsons creek']",['pop'],pop
2001,55,Ricky Martin,Nobody Wants To Be Lonely,Nobody Wants To Be Lonely,"['latin pop', 'pop', 'Ballad', '00s', 'Ricky Martin']",['pop'],pop
2001,56,Jay-Z,I Just Wanna Love U (Give It 2 Me),I Just Wanna Love U (Give It 2 Me),"['Hip-Hop', 'hip hop', 'rap', 'neptunes', 'dance']","['Hip-Hop', 'hip hop', 'rap']",hip hop
2001,58,Mystikal,Danger (Been So Long),Danger (Been So Long),"['Hip-Hop', 'rap', 'Dirty South', 'hip hop', 'danger']","['Hip-Hop', 'rap', 'hip hop']",hip hop
2001,60,Toya,I Do!!,I Do!!,"['rnb', 'Energetic', 'pop', 'RB', '00s']","['rnb', 'pop']",r&b
2001,61,S Club 7,Never Had A Dream Come True,Never Had A Dream Come True,"['pop', 'british', 'S Club 7', 'Love', '90s']",['pop'],pop
2001,62,Tamia,Stranger In My House,Stranger In My House,"['rnb', 'female vocalists', 'tamia', 'Ballad', 'soul']","['rnb', 'soul']",r&b
2001,63,Jessica Simpson,Irresistible,Irresistible,"['pop', 'female vocalists', 'Jessica Simpson', 'dance', 'guilty pleasure']",['pop'],pop
2001,64,Sunshine Anderson,Heard It All Before,Heard It All Before,"['rnb', 'Heard It All Before', 'soul', 'female vocalists', 'Neo-Soul']","['rnb', 'soul']",r&b
2001,66,Faith Hill,There You’ll Be,There Youll Be,"['country', 'female vocalists', 'oldies', 'love songs']",['country'],country
2001,67,Musiq Soulchild,Love,Love,"['Musiq', 'Love', 'rnb', 'Neo-Soul', 'soul']","['rnb', 'soul']",r&b
2001,70,Nelly Furtado,Turn Off The Light,Turn Off The Light,"['pop', 'female vocalists', 'Nelly Furtado', 'dance', 'Canadian']",['pop'],pop
2001,72,Jennifer Lopez,Play,Play,"['pop', 'dance', 'rnb', 'jennifer lopez', 'female vocalists']","['pop', 'rnb']",pop
2001,75,U2,Beautiful Day,Beautiful Day,"['rock', 'U2', 'pop', 'irish', 'alternative']","['rock', 'pop']",rock
2001,76,Blake Shelton,Austin,Austin,"['country', 'austin', 'Blake Shelton', 'Love', 'love songs']",['country'],country
2001,77,Ludacris,Southern Hospitality,Southern Hospitality,"['rap', 'hip hop', 'Hip-Hop', 'atlanta', 'neptunes']","['rap', 'hip hop', 'Hip-Hop']",rap
2001,78,Tim McGraw,Grown Men Don’t Cry,Grown Men Dont Cry,"['country', 'male vocalists', 'male country', 'male', 'beautiful']",['country'],country
2001,79,Ja Rule,Livin’ It Up,Livin It Up,"['Hip-Hop', 'rap']","['Hip-Hop', 'rap']",hip hop
2001,80,Mariah Carey,Loverboy,Loverboy,"['rnb', 'pop', 'Mariah Carey', 'dance', 'female vocalists']","['rnb', 'pop']",r&b
2001,81,Isley Brothers,Contagious,Contagious,"['soul', 'rnb', 'smooth', 'the isley brothers', 'r&b']","['soul', 'rnb', 'r&b']",soul
2001,82,Jessica Andrews,Who I Am,Who I Am,"['country', 'female vocalists', 'Jessica Andrews', 'country pop', 'pop']","['country', 'pop']",country
2001,83,Erick Sermon,Music,Music,"['hip hop', 'Hip-Hop', 'groovy', 'rap', 'Def Squad']","['hip hop', 'Hip-Hop', 'rap']",hip hop
2001,84,Willa Ford,I Wanna Be Bad,I Wanna Be Bad,"['pop', 'dance', 'guilty pleasure', 'female vocalists', 'sex']",['pop'],pop
2001,85,Kenny Chesney,Don’t Happen Twice,Dont Happen Twice,"['country', 'Kenny Chesney', 'dont happen twice', 'heard on Pandora', 'country rock']",['country'],country
2001,86,Diamond Rio,One More Day,One More Day,"['country', 'Diamond Rio', 'One more day', 'Country Love', 'Love']",['country'],country
2001,87,R. Kelly,I Wish,I Wish,"['rnb', 'r kelly', 'soul', 'r&b', 'Hip-Hop']","['rnb', 'soul', 'r&b', 'Hip-Hop']",r&b
2001,88,Travis Tritt,It’s A Great Day To Be Alive,Its A Great Day To Be Alive,"['country', 'travis tritt', 'its a great day to be alive', 'Love', 'my soundtrack']",['country'],country
2001,89,Trick Daddy,I’m A Thug,Im A Thug,"['Hip-Hop', 'rap', 'Dirty South', 'hip hop', 'billboard top 20']","['Hip-Hop', 'rap', 'hip hop']",hip hop
2001,90,Eve 6,Here’s To The Night,Heres To The Night,"['alternative', 'rock', 'alternative rock', 'pop', 'Eve 6']","['rock', 'pop']",rock
2001,91,Toby Keith,You Shouldn’t Kiss Me Like This,You Shouldnt Kiss Me Like This,"['country', 'toby keith', 'male country', 'sad', 'beautiful']",['country'],country
2001,93,Debelah Morgan,Dance With Me,Dance With Me,"['dance', 'pop', 'tango', 'rnb', 'female vocalists']","['pop', 'rnb']",pop
2001,94,Outkast,"So Fresh, So Clean","So Fresh, So Clean","['Hip-Hop', 'hip hop', 'rap', 'outkast', 'funk']","['Hip-Hop', 'hip hop', 'rap']",hip hop
2001,95,Nelly,E.I.,E.I.,"['rap', 'Hip-Hop', 'Nelly', 'hip hop', 'rnb']","['rap', 'Hip-Hop', 'hip hop', 'rnb']",rap
2001,96,3 Doors Down,Be Like That,Be Like That,"['rock', 'alternative rock', '3 Doors Down', 'alternative', 'Be Like That']",['rock'],rock
2001,97,Pink,Most Girls,Most Girls,"['pop', 'pink', 'female vocalists', 'rnb', 'rock']","['pop', 'rnb', 'rock']",pop
2001,99,Enrique Iglesias,Hero,Hero,"['pop', 'latin', 'romantic', 'Love', 'male vocalists']","['pop', 'latin']",pop
2001,100,Fuel,Hemorrhage (In My Hands),Hemorrhage (In My Hands),"['rock', 'alternative rock', 'alternative', '90s', 'post-grunge']",['rock'],rock
2002,1,Nickelback,How Your Remind Me,How Your Remind Me,"['rock', 'nickelback', 'alternative rock', 'alternative', 'hard rock']",['rock'],rock
2002,2,Ashanti,Foolish,Foolish,"['rnb', 'Ashanti', 'female vocalists', 'foolish', 'pop']","['rnb', 'pop']",r&b
2002,3,Nelly,Hot in Herre,Hot in Herre,"['Hip-Hop', 'rap', 'Nelly', 'hip hop', 'rnb']","['Hip-Hop', 'rap', 'hip hop', 'rnb']",hip hop
2002,4,Nelly,Dilemma,Dilemma,"['rnb', 'Hip-Hop', 'Nelly', 'rap', 'hip hop']","['rnb', 'Hip-Hop', 'rap', 'hip hop']",r&b
2002,5,The Calling,Wherever you Will Go,Wherever you Will Go,"['rock', 'alternative rock', 'The Calling', 'alternative', 'pop']","['rock', 'pop']",rock
2002,6,Vanessa Carlton,A Thousand Miles,A Thousand Miles,"['pop', 'female vocalists', 'piano', 'vanessa carlton', 'singer-songwriter']",['pop'],pop
2002,7,Linkin Park,In the End,In the End,"['rock', 'Nu Metal', 'Linkin Park', 'alternative rock', 'alternative']",['rock'],rock
2002,9,Usher,U Got it Bad,U Got it Bad,"['rnb', 'Usher', 'soul', 'pop', 'Hip-Hop']","['rnb', 'soul', 'pop', 'Hip-Hop']",r&b
2002,10,Puddle Of Mudd,Blurry,Blurry,"['rock', 'alternative rock', 'Grunge', 'alternative', 'post-grunge']",['rock'],rock
2002,11,Avril Lavigne,Complicated,Complicated,"['pop', 'rock', 'avril lavigne', 'pop rock', 'female vocalists']","['pop', 'rock']",pop
2002,12,Ja Rule,Always on Time,Always on Time,"['Hip-Hop', 'rap', 'rnb', 'Ja Rule', 'Love']","['Hip-Hop', 'rap', 'rnb']",hip hop
2002,13,Jennifer Lopez,Ain’t it Funny,Aint it Funny,"['pop', 'latin', 'dance', 'jennifer lopez', 'female vocalists']","['pop', 'latin']",pop
2002,14,Jimmy Eat World,The Middle,The Middle,"['rock', 'alternative rock', 'alternative', 'emo', 'Jimmy Eat World']",['rock'],rock
2002,16,Usher,U Don’t have to Call,U Dont have to Call,"['rnb', '2002', 'neptunes productions']",['rnb'],r&b
2002,17,Mary J. Blige,Family Affair,Family Affair,"['rnb', 'soul', 'female vocalists', 'Hip-Hop', 'mary j blige']","['rnb', 'soul', 'Hip-Hop']",r&b
2002,19,Eve,Gangsta Lovin’,Gangsta Lovin,"['rnb', 'gangsta']",['rnb'],r&b
2002,20,Creed,My Sacrifice,My Sacrifice,"['rock', 'Creed', 'alternative rock', 'alternative', 'hard rock']",['rock'],rock
2002,21,Eminem,Without Me,Without Me,"['rap', 'Hip-Hop', 'Eminem', 'hip hop', '00s']","['rap', 'Hip-Hop', 'hip hop']",rap
