Song
1.    Macklemore & Ryan Lewis Featuring Ray Dalton – Can’t Hold Us
2.    Baauer – Harlem Shake
3.    P!nk Featuring Nate Ruess – Just Give Me A Reason
4.    Robin Thicke Featuring T.I. + Pharrell – Blurred Lines
5.    Lorde – Royals
6.    Robin Thicke Featuring T.I. + Pharrell – Blurred Lines
7.    Katy Perry – Roar
8.    Justin Timberlake – Mirrors
9.    Daft Punk Featuring Pharrell Williams – Get Lucky
10.    Miley Cyrus – We Can’t Stop
11.    Miley Cyrus – Wrecking Ball
12.    will.i.am & Britney Spears – Scream & Shout
13.    Justin Timberlake Featuring Jay Z – Suit & Tie
14.    Rihanna Featuring Mikky Ekko – Stay
15.    Eminem – Berzerk
16.    Eminem Featuring Rihanna – The Monster
"17.    Drake Featuring Majid Jordan – Hold On, We’re Going Home"
18.    Florida Georgia Line Featuring Nelly – Cruise
19.    Bruno Mars – Treasure
20.    Avicii – Wake Me Up!
21.    Jay Z Featuring Justin Timberlake – Holy Grail
22.    Drake – Started From The Bottom
23.    Anna Kendrick – Cups (Pitch Perfect’s When I’m Gone)
24.    Selena Gomez – Come & Get It
25.    Lady Gaga – Applause
26.    One Direction – Story Of My Life
27.    Imagine Dragons – Demons
28.    Pitbull Featuring Christina Aguilera – Feel This Moment
29.    Zedd Featuring Foxes – Clarity
30.    Ylvis – The Fox
31.    Lil Wayne Featuring Drake & Future – Love Me
32.    Icona Pop Featuring Charli XCX – I Love It
33.    Capital Cities – Safe And Sound
34.    OneRepublic – Counting Stars
35.    Demi Lovato – Heart Attack
36.    Ariana Grande Featuring Mac Miller – The Way
37.    Maroon 5 – Love Somebody
38.    Lana Del Rey & Cedric Gervais – Summertime Sadness
39.    Macklemore & Ryan Lewis Feat Mary Lambert – Same Love
"40.    Mike WiLL Made-It Featuring Miley Cyrus, Wiz Khalifa & Juicy J"
41.    PSY – Gentleman
42.    Passenger – Let Her Go
43.    Blake Shelton Feat Pistol Annies & Friends – Boys ‘Round Here
44.    Fall Out Boy –  Light Em Up
45.    2 Chainz & Wiz Khalifa – We Own It (Fast & Furious)
46.    Luke Bryan – That’s My Kind Of Night
47.    Eminem – Survival
48.    will.i.am Featuring Justin Bieber – #thatPOWER
49.    Calvin Harris Featuring Ellie Goulding – I Need Your Love
50.    Mariah Carey Featuring Miguel – #Beautiful
51.    Eminem – Rap God
52.    Darius Rucker – Wagon Wheel
53.    Luke Bryan – Crash My Party
54.    Jason Derulo – The Other Side
55.    One Direction – Best Song Ever
56.    Rihanna – Pour It Up
57.    fun. – Carry On
58.    Miranda Lambert – Mama’s Broken Heart
59.    J. Cole Featuring Miguel – Power Trip
60.    Taylor Swift – 22
61.    Rocko Featuring Future & Rick Ross – U.O.E.N.O.
62.    Drake Featuring 2 Chainz & Big Sean – All Me
63.    Pitbull Featuring Ke$ha – Timber
64.    Tim McGraw With Taylor Swift – Highway Don’t Care
65.    Hunter Hayes – I Want Crazy
66.    YG Featuring Jeezy & Rich Homie Quan – My Hitta
67.    Chris Brown Featuring Nicki Minaj – Love More
68.    Paramore – Still Into You
69.    Blake Shelton – Sure Be Cool If You Did
70.    Olly Murs Featuring Flo Rida – Troublemaker
"71.    Phillip Phillips – Gone, Gone, Gone"
72.    Thomas Rhett – It Goes Like This
73.    Robin Thicke Featuring Kendrick Lamar – Give It 2 U
74.    Katy Perry – Unconditionally
75.    Emeli Sande – Next To Me
76.    Ke$ha – C’Mon
77.    Wale Featuring Tiara Thomas – Bad
78.    Ciara – Body Party
79.    J. Cole Featuring TLC – Crooked Smile
80.    Randy Houser – Runnin’ Outta Moonlight
81.    Wale Featuring Tiara Thomas Or Rihanna – Bad
82.    Bruno Mars – Gorilla
83.    Florida Georgia Line – Get Your Shine On
84.    Lady Antebellum – Downtown
85.    Justin Timberlake – Take Back The Night
86.    Avril Lavigne – Here’s To Never Growing Up
87.    Brett Eldredge – Don’t Ya
88.    Florida Georgia Line – Round Here
89.    Selena Gomez – Slow Down
90.    Sage The Gemini Featuring IamSu – Gas Pedal
91.    Lady Gaga – Venus
"92.    Kendrick Lamar – Bitch, Don’t Kill My Vibe"
93.    Ace Hood Featuring Future & Rick Ross – Bugatti
94.    The Neighbourhood – Sweater Weather
95.    Tyler Farr – Redneck Crazy
96.    Krewella – Alive
97.    Sara Bareilles – Brave
98.    The FiNATTiCZ – Don’t Drop That Thun Thun!
99.    Justin Timberlake – TKO
